101.000000, Mobile_1, 192.0.1.2, 0.099918024525112, 100.900334
101.000000, Mobile_1, 192.0.1.3, 0.240246243978952, 100.920164
101.000000, Mobile_2, 192.0.1.1, 0.999977490790717, 100.004056
101.000000, Mobile_2, 192.0.1.3, 0.240246243978952, 100.920164
101.000000, Mobile_3, 192.0.1.1, 0.999977490790717, 100.004056
101.000000, Mobile_3, 192.0.1.2, 0.099918024525112, 100.900334
102.000000, Mobile_1, 192.0.1.2, 0.0472222871533884, 101.953053
102.000000, Mobile_1, 192.0.1.3, 3.24023666509591, 100.920164
102.000000, Mobile_2, 192.0.1.1, 0.0151114992638052, 101.985152
102.000000, Mobile_2, 192.0.1.3, 3.24023666509591, 100.920164
102.000000, Mobile_3, 192.0.1.1, 0.0151114992638052, 101.985152
102.000000, Mobile_3, 192.0.1.2, 0.0472222871533884, 101.953053
103.000000, Mobile_1, 192.0.1.2, 1.04721496406515, 101.953053
103.000000, Mobile_1, 192.0.1.3, 2.98975621038992, 102.003666
103.000000, Mobile_2, 192.0.1.1, 1.01509665584416, 101.985152
103.000000, Mobile_2, 192.0.1.3, 2.98975621038992, 102.003666
103.000000, Mobile_3, 192.0.1.1, 1.01509665584416, 101.985152
103.000000, Mobile_3, 192.0.1.2, 1.04721496406515, 101.953053
104.000000, Mobile_1, 192.0.1.2, 0.996195659690397, 103.004056
104.000000, Mobile_1, 192.0.1.3, 5.98974793390306, 102.003666
104.000000, Mobile_2, 192.0.1.1, 0.971237982721534, 103.029009
104.000000, Mobile_2, 192.0.1.3, 5.98974793390306, 102.003666
104.000000, Mobile_3, 192.0.1.1, 0.971237982721534, 103.029009
104.000000, Mobile_3, 192.0.1.2, 0.996195659690397, 103.004057
105.000000, Mobile_1, 192.0.1.2, 0.954967877964441, 104.045278
105.000000, Mobile_1, 192.0.1.3, 8.98974196838627, 102.003666
105.000000, Mobile_2, 192.0.1.1, 0.893758145142774, 104.106480
105.000000, Mobile_2, 192.0.1.3, 8.98974196838627, 102.003666
105.000000, Mobile_3, 192.0.1.1, 0.893758145142774, 104.106480
105.000000, Mobile_3, 192.0.1.2, 0.954967877964441, 104.045278
106.000000, Mobile_1, 192.0.1.2, 0.873102947105899, 105.127131
106.000000, Mobile_1, 192.0.1.3, 11.9897459747647, 102.003666
106.000000, Mobile_2, 192.0.1.1, 0.827675701554674, 105.172563
106.000000, Mobile_2, 192.0.1.3, 11.9897459747647, 102.003666
106.000000, Mobile_3, 192.0.1.1, 0.827675701554674, 105.172563
106.000000, Mobile_3, 192.0.1.2, 0.873102947105899, 105.127132
107.000000, Mobile_1, 192.0.1.2, 1.87310741903447, 105.127131
107.000000, Mobile_1, 192.0.1.3, 14.9897514578884, 102.003666
107.000000, Mobile_2, 192.0.1.1, 1.82768056527416, 105.172563
107.000000, Mobile_2, 192.0.1.3, 14.9897514578884, 102.003666
107.000000, Mobile_3, 192.0.1.1, 1.82768056527416, 105.172563
107.000000, Mobile_3, 192.0.1.2, 1.87310741903447, 105.127132
108.000000, Mobile_1, 192.0.1.2, 2.87311296478405, 105.127131
108.000000, Mobile_1, 192.0.1.3, 17.9897502702068, 102.003666
108.000000, Mobile_2, 192.0.1.1, 2.82769027024705, 105.172563
108.000000, Mobile_2, 192.0.1.3, 17.9897502702068, 102.003666
108.000000, Mobile_3, 192.0.1.1, 2.82769027024705, 105.172563
108.000000, Mobile_3, 192.0.1.2, 2.87311296478405, 105.127132
109.000000, Mobile_1, 192.0.1.2, 3.873090870694, 105.127131
109.000000, Mobile_1, 192.0.1.3, 20.9897478906602, 102.003666
109.000000, Mobile_2, 192.0.1.1, 3.82766506013323, 105.172563
109.000000, Mobile_2, 192.0.1.3, 20.9897478906602, 102.003666
109.000000, Mobile_3, 192.0.1.1, 3.82766506013323, 105.172563
109.000000, Mobile_3, 192.0.1.2, 3.873090870694, 105.127132
110.000000, Mobile_1, 192.0.1.2, 4.87310979085931, 105.127131
110.000000, Mobile_1, 192.0.1.3, 23.9897380060683, 102.003666
110.000000, Mobile_2, 192.0.1.1, 4.82768797759798, 105.172563
110.000000, Mobile_2, 192.0.1.3, 23.9897380060683, 102.003666
110.000000, Mobile_3, 192.0.1.1, 4.82768797759798, 105.172563
110.000000, Mobile_3, 192.0.1.2, 4.87310979085931, 105.127132
111.000000, Mobile_1, 192.0.1.1, 0.999989194854094, 110.011666
111.000000, Mobile_1, 192.0.1.2, 0.452554758887802, 110.547697
111.000000, Mobile_1, 192.0.1.3, 2.98509556293749, 110.011666
111.000000, Mobile_2, 192.0.1.1, 0.999989194854094, 110.004963
111.000000, Mobile_2, 192.0.1.3, 2.98509556293749, 110.011666
111.000000, Mobile_3, 192.0.1.1, 0.999989194854094, 110.004963
111.000000, Mobile_3, 192.0.1.2, 0.452554758887802, 110.547697
112.000000, Mobile_1, 192.0.1.1, 1.99999668584347, 110.011666
112.000000, Mobile_1, 192.0.1.2, 0.376087488067552, 111.624153
112.000000, Mobile_1, 192.0.1.3, 2.08522073620158, 111.305172
112.000000, Mobile_2, 192.0.1.1, 0.478942144895376, 111.521307
112.000000, Mobile_2, 192.0.1.3, 2.08522073620158, 111.305172
112.000000, Mobile_3, 192.0.1.1, 0.478942144895376, 111.521308
112.000000, Mobile_3, 192.0.1.2, 0.376087488067552, 111.624153
113.000000, Mobile_1, 192.0.1.1, 2.99997874570935, 110.011666
113.000000, Mobile_1, 192.0.1.2, 0.311412984997424, 112.688842
113.000000, Mobile_1, 192.0.1.3, 2.02033019085817, 112.326805
113.000000, Mobile_2, 192.0.1.1, 0.399130492651223, 112.601108
113.000000, Mobile_2, 192.0.1.3, 2.02033019085817, 112.326805
113.000000, Mobile_3, 192.0.1.1, 0.399130492651223, 112.601109
113.000000, Mobile_3, 192.0.1.2, 0.311412984997424, 112.688842
114.000000, Mobile_1, 192.0.1.1, 3.99999169285162, 110.011666
114.000000, Mobile_1, 192.0.1.2, 0.282938950809157, 113.717308
114.000000, Mobile_1, 192.0.1.3, 5.02033487388969, 112.326805
114.000000, Mobile_2, 192.0.1.1, 0.302844291643448, 113.697403
114.000000, Mobile_2, 192.0.1.3, 5.02033487388969, 112.326805
114.000000, Mobile_3, 192.0.1.1, 0.302844291643448, 113.697403
114.000000, Mobile_3, 192.0.1.2, 0.282938950809157, 113.717308
115.000000, Mobile_1, 192.0.1.1, 4.99999461760511, 110.011666
115.000000, Mobile_1, 192.0.1.2, 0.222665310657063, 114.777585
115.000000, Mobile_1, 192.0.1.3, 8.02033188596934, 112.326805
115.000000, Mobile_2, 192.0.1.1, 0.285217233771051, 114.715047
115.000000, Mobile_2, 192.0.1.3, 8.02033188596934, 112.326805
115.000000, Mobile_3, 192.0.1.1, 0.285217233771051, 114.715047
115.000000, Mobile_3, 192.0.1.2, 0.222665310657063, 114.777585
116.000000, Mobile_1, 192.0.1.1, 5.99998675902605, 110.011666
116.000000, Mobile_1, 192.0.1.2, 0.153970423215012, 115.846284
116.000000, Mobile_1, 192.0.1.3, 11.0203405389279, 112.326805
116.000000, Mobile_2, 192.0.1.1, 0.258366354839423, 115.741888
116.000000, Mobile_2, 192.0.1.3, 11.0203405389279, 112.326805
116.000000, Mobile_3, 192.0.1.1, 0.258366354839423, 115.741889
116.000000, Mobile_3, 192.0.1.2, 0.153970423215012, 115.846284
117.000000, Mobile_1, 192.0.1.1, 6.999987167902, 110.011666
117.000000, Mobile_1, 192.0.1.2, 1.15397761275383, 115.846284
117.000000, Mobile_1, 192.0.1.3, 14.0203406868416, 112.326805
117.000000, Mobile_2, 192.0.1.1, 1.25836675938695, 115.741888
117.000000, Mobile_2, 192.0.1.3, 14.0203406868416, 112.326805
117.000000, Mobile_3, 192.0.1.1, 1.25836675938695, 115.741889
117.000000, Mobile_3, 192.0.1.2, 1.15397761275383, 115.846284
118.000000, Mobile_1, 192.0.1.1, 7.99999349821561, 110.011666
118.000000, Mobile_1, 192.0.1.2, 2.15398213819451, 115.846284
118.000000, Mobile_1, 192.0.1.3, 17.0203414601214, 112.326805
118.000000, Mobile_2, 192.0.1.1, 2.25837309014899, 115.741888
118.000000, Mobile_2, 192.0.1.3, 17.0203414601214, 112.326805
118.000000, Mobile_3, 192.0.1.1, 2.25837309014899, 115.741889
118.000000, Mobile_3, 192.0.1.2, 2.15398213819451, 115.846284
119.000000, Mobile_1, 192.0.1.1, 8.99999366378098, 110.011666
119.000000, Mobile_1, 192.0.1.2, 3.1539599153739, 115.846284
119.000000, Mobile_1, 192.0.1.3, 20.0203335798823, 112.326805
119.000000, Mobile_2, 192.0.1.1, 3.25837325531516, 115.741888
119.000000, Mobile_2, 192.0.1.3, 20.0203335798823, 112.326805
119.000000, Mobile_3, 192.0.1.1, 3.25837325531516, 115.741889
119.000000, Mobile_3, 192.0.1.2, 3.1539599153739, 115.846284
